en,es
Released under GNU General Public Licence.,Esto significa que no tiene los complementos correctos de GStreamer instalados o que no tiene una tarjeta de sonido configurada.
Character Palette Insert characters DEPRECATED - Characters shown on applet startup Characters shown on applet startup The string that the user had selected when the applet was last used.,Puede quitar el control de volumen del panel pulsando con el botón derecho sobre el icono del altavoz en el panel y seleccionando «Quitar del panel» del menú.
This string will be displayed when the user starts the applet.,Falló al iniciar el control de volumen: %s %s: silenciado %s: %d%% Falló al mostrar la ayuda: %s Control de volumen para su Panel de GNOME.
List of available palettes List of strings containing the available palettes.,Usando GStreamer 0.10.
Charpicker Applet Factory _Edit _Palette: Palette entry Modify a palette by adding or removing characters Add Palette Edit Palette Palettes list _Palettes: Add button Click to add a new palette Edit button Click to edit the selected palette Delete button Click to delete the selected palette Character Palette Preferences CPU to Monitor Set the CPU to monitor.,Control de volumen Control de volumen desconocido %d Canal controlado por la miniaplicación.
In a single processor system you don't have to change it.,Sólo para configuraciones de OSS Estado de silencio guardado Volumen guardado para restaurar durante el inicio Ajusta el volumen del sonido Preferencias del control de volumen Seleccione el dispositivo y pista para controlar.
"Mode to show cpu usage A 0 value means to show the applet in graphic mode (pixmap only), 1 to show the applet in text mode (not to show the pixmap) and 2 to show the applet in graphic and text mode.","_Activar _Desactivar _Propiedades Monitor del módem Conexión activa, pero no se pudo obtener el tiempo de conexión Tiempo conectado: %.1d:%.2d Desconectado Para conectarse a su proveedor de servicios de Internet, necesita privilegios de administrador Para desconectarse de su proveedor de servicios de Internet, necesita privilegios de administrador La contraseña introducida no es válida Comprueba que la ha tecleado correctamente y que no ha activado la tecla «Bloq."
The type of text to display (if the text is enabled).,Mayús.» ¿Desea conectarse?
"A 0 value means to show cpu frequency, 1 to show frequency and units, and 2 to show percentage instead of frequency.",¿Desea desconectarse?
CPU Frequency Monitor Preferences Monitor Settings _Monitored CPU: Display Settings _Appearance: Show CPU frequency as _frequency Show frequency _units Show CPU frequency as _percentage CPU Frequency Scaling Monitor Monitor the CPU Frequency Scaling Could not open help document This utility shows the current CPU Frequency Scaling.,C_onectar _Desconectar No se pudo lanzar la herramienta de configuración de red Comprueba que está instalado en la ruta correcta y que tienen los permisos correctos Miniaplicación para activar y monitorizar una conexión de red de marcado telefónico.
This utility shows the current CPU Frequency Graphic Text Graphic and Text Frequency Scaling Unsupported CPU frequency scaling unsupported You will not be able to modify the frequency of your machine.,"Introduzca la contraseña Contraseña: Conectando con el proveedor de servicios de Internet Activar y monitorizar una conexión de marcado telefónico Un monitor de carga del sistema capaz de mostrar gráficos para la CPU, RAM y del uso del espacio intercambio, además del tráfico de red."
Your machine may be misconfigured or not have hardware support for CPU frequency scaling.,"Monitor del sistema Ha ocurrido un error al ejecutar «%s» : %s Procesador Memoria Red Espacio de intercambio Carga media Disco %s: %u%% en uso por programas %u%% en uso como caché La carga media del sistema es del %0.02f Carga CPU Carga de memoria Carga de red Carga del intercambio Carga del disco Abrir el m_onitor del sistema Monitor del sistema Activar el gráfico de carga de CPU Activar el gráfico de carga de memoria Activar el gráfico de carga de la red Activar el gráfico de carga de intercambio Activar el gráfico de promedio de carga Activar el gráfico de carga de disco Tasa de refresco de la miniaplicación en milisegundos Tamaño del gráfico Para los paneles horizontales, el ancho de los gráficos en píxeles, para los paneles verticales, esto es la altura de los gráficos."
Change CPU Frequency scaling Privileges are required to change the CPU Frequency scaling.,El color del gráfico para la actividad de la CPU relacionada con el usuario El color del gráfico para la actividad de la CPU relacionada con el sistema El color del gráfico para la actividad de la CPU relacionada con la prioridad El color del gráfico para la espera de E/S relacionada con la actividad de la CPU Color de fondo del gráfico de carga de CPU El color del gráfico para el uso de memoria relacionado con el usuario El color del gráfico para la memoria compartida El color del gráfico para la memoria del búfer El color del gráfico para la memoria caché Color de fondo del gráfico de uso de memoria El color del gráfico para mostrar la actividad de la red Ethernet El color del gráfico para mostrar la actividad de la red Ethernet El color del gráfico para otros usos de la red Color de fondo del gráfico de red El color del gráfico para el uso de intercambio relativo al usuario Color de fondo del gráfico del espacio de intercambio El color del gráfico para el promedio de carga Color de fondo del gráfico de carga del sistema El color del gráfico para las lecturas de disco El color del gráfico para las escrituras de disco Color del fondo para el gráfico de carga de disco Un indicador de carga del sistema Recursos monitorizados _Procesador _Memoria _Red Espacio de _intercambio Car_ga _Disco duro Opciones Anchura del m_onitor del sistema: Altura del m_onitor del sistema: Intervalo de actualización del monitor del sis_tema: milisegundos _Usuario _Sistema _Prioridad Espera _E/S _Ocioso _Compartida _Búferes C_acheada _Libre _Fondo _Usado _Libre Carga _Media Disco duro _Lectura _Escritura Preferencias del monitor del sistema Monitor del módem Indicador del teclado Algunos elementos del panel no estarán disponibles a partir de ahora Uno o más elementos del panel (también llamados miniaplicaciones) no están ya disponibles en el escritorio GNOME.
(mounted) (not mounted) _Play DVD _Play CD _Open %s Un_mount %s _Mount %s _Eject %s Applet for mounting and unmounting block volumes.,Estos elementos se quitarán de su configuración: No recibirá este mensaje de nuevo.
Disk Mounter Interval timeout to check mount point status Time in seconds between status updates Drive Mount Applet Factory Factory for drive mount applet Mount local disks and devices A goofy set of eyes for the GNOME panel.,"Tomboy (antes Notas adhesivas) Tomboy (actualización transparente de notas adhesivas) Fábrica miniaplicación de Notas adhesivas Notas adhesivas Crea, muestra y administra notas adhesivas en el escritorio Esta nota está bloqueada."
They follow your mouse.,Esta nota está desbloqueada.
The eyes look in the direction of the mouse pointer Directory in which the theme is located Geyes Applet Factory A set of eyeballs for your panel Can not launch the eyes applet.,Nota _nueva _Borrar la nota…
There was a fatal error while trying to load the theme.,B_loquear la nota Preferencias de las notas adhesivas Propiedades predeterminadas de la nota Seleccione una tipografía para usar en todas las notas adhesivas Seleccione una tipografía predeterminada para la nota adhesiva T_ipografía: Usar la _tipografía del tema del sistema C_olor de la nota: Co_lor de la tipografía: Seleccione un color base para usar con todas las notas adhesivas Seleccione un color predeterminado para la nota adhesiva Usar el co_lor del tema del sistema Especifica la altura predeterminada (en píxeles) de las notas nuevas Especifica la anchura predeterminada (en píxeles) de las notas nuevas A_ltura: Comportamiento Forzar los colores y tipografías pre_determinados en las notas Seleccione si se debe forzar el estilo predeterminado en todas las notas C_olocar las notas en todas las áreas de trabajo Elija si las notas serán visibles en todas las áreas de trabajo Mostrar notas adhesivas Esta nota está desbloqueada.
Geyes Preferences Themes _Select a theme: © 1999-2005 by S.,Mostrar notas adhesivas _Borrar todas Nota adhesiva Bloquear/Desbloquear la nota Cerrar nota Redimensionar la nota Propiedades de la nota adhesiva _Propiedades Seleccione una tipografía para la nota Seleccione una tipografía para la nota adhesiva Usar la tipografía predetermi_nada Seleccione un color para la nota Seleccione un color para la nota adhesiva _Color de la nota: Color de la _tipografía: Usar el co_lor predeterminado Especifique un título para la nota _Título: Anchura predeterminado para las notas nuevas Anchura predeterminado en píxeles para las notas adhesivas nuevas.
Papadimitriou and others A panel application for monitoring local weather conditions.,Altura predeterminada para las notas nuevas Altura predeterminada en píxeles para las notas adhesivas nuevas.
_Details _Update Weather Report GNOME Weather Weather Forecast City: %s Sky: %s Temperature: %s Updating...,Color de predeterminado para las notas nuevas Color predeterminado para las notas adhesivas nuevas.
Details City: Last update: Conditions: Sky: Temperature: Feels like: Dew point: Relative humidity: Wind: Pressure: Visibility: Sunrise: Sunset: Current Conditions Forecast Report See the ForeCast Details Forecast Radar Map _Visit Weather.com Visit Weather.com Click to Enter Weather.com Forecast not currently available for this location.,"Este podría estar en especificación hexadecimal html, por ejemplo «#30FF50»."
Please report this as a bug.,"Este podría estar en especificación hexadecimal html, por ejemplo «#000000»."
Weather Preferences _Automatically update every: _Temperature unit: Default Kelvin Celsius Fahrenheit _Wind speed unit: m/s km/h mph knots Beaufort scale _Pressure unit: kPa hPa mb mmHg inHg atm _Visibility unit: meters km miles Enable _radar map Use _custom address for radar map A_ddress: Update minutes Display General _Select a location: _Find: Find _Next Location Gweather Applet Factory Factory for creating the weather applet.,Tipografía predeterminada para las notas nuevas Tipografía predeterminada para las notas adhesivas nuevas.
"Monitor the current weather conditions, and forecasts Invest Applet Factory Factory for creating the invest applet.","Esto debería ser un nombre de tipografía Pango, por ejemplo «Sans Italic 10» Adherencia del área de trabajo de las notas adhesivas Especifica si las notas adhesivas son visibles en TODAS las áreas de trabajo del escritorio, o no."
Invest Track your invested money.,Estado de bloqueo de las notas adhesivas Especifica si las notas adhesivas están bloqueadas (no editables) o no.
Financial Chart _Ticker symbol: Auto _refresh _Graph style: Moving average: Exponential moving average: 5 10 20 50 100 200 Overlays: Bollinger SAR Splits Volumes Indicators: RSI Vol MFI Slow stoch Vol+MA ROC Fast stoch W%R MACD _Options Downloading chart from Yahoo!,"Formato de fecha del título de la nota Por omisión, las notas adhesivas utilizan la fecha actual como título al crearse."
Invest Preferences Stocks Add Group Show stocks of index values About Help Preferences Refresh Financial Chart - %s Opening Chart Symbol Amount Price Commission Delete entire stock group?,Este es el formato utilizado.
Updated at %s Deskbar (formerly Mini-Commander) Deskbar (transparent upgrade from Mini-Commander) This GNOME applet adds a command line to the panel.,Cualquier formato que pueda ser analizado por strftime() es válido.
"It features command completion, command history, and changeable macros.",Define si se debe utilizar el color predeterminado del sistema Si esta opción esta deshabilitada se puede utilizar una color personalizado como el color predeterminado para todas las notas adhesivas.
"No items in history Start program Command line Type a command here and Gnome will execute it for you Cannot get schema for %s: %s Cannot set schema for %s: %s Set default list value for %s GCONF_DISABLE_MAKEFILE_SCHEMA_INSTALL is set, not installing schemas Must set the GCONF_CONFIG_SOURCE environment variable Failed to access configuration source(s): %s Error syncing config data: %s Macro pattern list List of GConfValue entries containing strings for the macro patterns.","Define si se debe utilizar la tipografía predeterminada del sistema Si esta opción está deshabilitada, se puede utilizar una tipografía personalizada como tipografía predeterminada para todas las notas adhesivas."
Macro command list List of GConfValue entries containing strings for the macro commands.,Define si se debe forzar el uso del color y la tipografía predeterminada en todas las notas Si esta opción esta habilitada los colores y tipografías personalizadas que han sido asignados a las notas individuales serán ignorados.
Command Line Preferences Auto Completion E_nable history-based auto completion _Width: pixels Colors _Use default theme colors Command line _foreground: Command line _background: Pick a color _Macros: _Add Macro...,Define si se debe solicitar una confirmación cuando se está borrando una nota Las notas vacías siempre se borran sin confirmar _Ocultar notas _Borrar las notas B_loquear las notas Mostrar notas adhesivas Notas adhesivas para el «Entorno de Escritorio GNOME» Papelera Ir a la papelera _Vaciar papelera _Abrir %s No hay elementos en la papelera Error al resucitar Nautilus: %s Un cubo de papelera que vive en su panel.
_Delete Macro Macros Add New Macro _Pattern: Co_mmand: Show handle Show a handle so the applet can be detached from the panel.,Puede usarlo para ver la papelera o arrastrar y soltar elementos en la papelera.
Show frame Show a frame surrounding the applet.,¿Borrar inmediatamente?
Perform history autocompletion Attempt to autocomplete a command from the history of commands entered.,"No se pueden mover los elementos a la papelera, ¿quiere borrarlos inmediatamente?"
Width Width of the applet Not used anymore Use the default theme colors Use theme colors instead of custom ones.,"No se pueden mover algunos elementos a la papelera, ¿quiere borrar éstos inmediatamente?"
"Foreground color, red component The red component of the foreground color.",Miniaplicación de la papelera Quitando elemento %s de %s Quitando: ¿Seguro que quiere vaciar todos los elementos de la papelera?
"Foreground color, green component The green component of the foreground color.","Si elije vaciar la papelera, todos los elementos dentro de ella se borrarán y se perderán para siempre."
"Foreground color, blue component The blue component of the foreground color.",También puede borrarlos por separado.
"Background color, red component The red component of the background color.",Vaciando la papelera Muestra el estado de las características AccessX como los modificadores bloqueadosdocumenters Francisco Javier F.
"Background color, green component The green component of the background color.",Serrador <serrador\@cvs\.gnome\.org> Jorge González González <jorge\.gonzalez\.gonzalez\@hispalinux\.es> Ha ocurrido un error lanzando el visor de ayuda: %s Ha ocurrido un error al lanzar el diálogo de preferencias del teclado: %s Ha ocurrido un error al lanzar el diálogo de preferencias del teclado: %s Preferencias de accesibilidad del _teclado Ay_uda _Acerca de a Estado de AccessX Muestra el estado del teclado cuando se usan las características de accesibilidad.
"Background color, blue component The blue component of the background color.","La extensión XKB no está activada Error desconocido Error: %s Estado de accesibilidad del teclado Muestra el estado actual de las características de accesibilidad del teclado Fábrica de la miniaplicación Estado de AccessX Fábrica de la miniaplicación de estado de accesibilidad del teclado Muestra el estado de las características de accesibilidad del teclado _Preferencias El sistema está funcionando con CA El sistema está funcionando con baterías Batería cargada al (%d%%) Tiempo desconocido, (%d%%) restante Tiempo desconocido, (%d%%) hasta su carga Le quedan %d %s %d %s (%d%%) %d %s %d %s para cargarse (%d%%) Monitor de la batería La batería está recargada completamente Notificación de batería Le queda un %d%% de la capacidad total de su batería."
History list List of GConfValue entries containing strings for history entries.,"Para evitar perder su trabajo: • enchufe su portátil a una fuente de alimentación externa, o • guarde los documentos abiertos y apague el portátil."
"This per-applet key is deprecated in favour of the global key, /schemas/apps/mini-commander-global/macro_patterns.","Para evitar perder su trabajo: • suspenda su portátil para ahorrar energía, • enchufe su portátil a una fuente de alimentación externa, o • guarde los documentos abiertos y apague el portátil."
Browser Click this button to start the browser History Click this button for the list of previous commands Command line has been disabled by your system administrator Command Line Mini-Commander applet This applet adds a command line to the panel MiniCommander Applet Factory Mini-Commander You must specify a pattern You must specify a pattern and a command You must specify a command You may not specify duplicate patterns Pattern Command Volume Applet Volume Control _Open Volume Control Mu_te The volume control did not find any elements and/or devices to control.,La batería se está agotando No hay ninguna batería presente Estado de la batería desconocido N/D Hubo un error al mostrar la ayuda: %s Esta utilidad muestra el estado de la batería de su portátil.
"This means either that you don't have the right GStreamer plugins installed, or that you don't have a sound card configured.",Backend de HAL activado.
"You can remove the volume control from the panel by right-clicking the speaker icon on the panel and selecting ""Remove From Panel"" from the menu.",Backend legado (No-HAL) activado.
Failed to start Volume Control: %s %s: muted %s: %d%% Failed to display help: %s Volume control for your GNOME Panel.,"Monitor de carga batería Monitoriza la carga restante de un portátil Preferencias del monitor de carga batería _Apariencia: Vista _compacta (muestra una imagen única para el estado y la carga) Vista _expandida (dos imágenes: una para el estado, otra para la carga) Mostrar _tiempo/porcentaje: Mostrar el _tiempo restante Mostrar el _porcentaje restante Notificaciones _Avisar cuando la carga de la batería baje hasta: _Notificarme cuando la batería esté recargada completamente No hay ninguna batería presente Nivel de valor rojo El nivel de batería por debajo del cual se muestra de color rojo."
Volume Control...,Avisar cuando quede poco tiempo en vez de bajo porcentaje Usar el valor definido en red_value como el tiempo que queda para mostrar el diálogo de advertencia en vez de un porcentaje Notificación de batería baja Notificar al usuario cuando la batería esté baja Notificación de batería cargada Notificar al usuario cuando la batería esté llena Pitar para las advertencias Pitar al mostrar una advertencia Vaciar desde arriba Mostrar el medidor de batería vaciándose desde la parte superior de la batería.
Unknown Volume Control %d Channel controlled by applet.,Sólo implementado para la vista tradicional de la batería.
Only for OSS setups Saved mute state Saved volume to restore on startup Adjust the sound volume Volume Control Preferences Select the device and track to control.,"Batería vertical (pequeña) Muestra la batería hacia arriba, más pequeña en el panel Muestra la batería horizontal Muestra la batería tradicional horizontal en el panel Muestra la etiqueta de tiempo/porcentaje 0 para ninguna etiqueta, 1 para porcentaje y 2 para tiempo restante Fábrica para «Estado de la batería»Warn when battery charge drops to: [XX] percent por cientoWarn when battery charge drops to: [XX] minutes remaining minutos restantes Utilidad de estado de la batería Carga de la batería baja Batería recargada completamente Paletas disponiblesPILCROW SIGN Insertar «%s» Insertar carácter especial insertar carácter especial %s Miniaplicación del panel de GNOME para seleccionar caracteres que no están en mi teclado."
"_Activate _Deactivate _Properties Modem Monitor Connection active, but could not get connection time Time connected: %.1d:%.2d Not connected To connect to your Internet service provider, you need administrator privileges To disconnect from your Internet service provider, you need administrator privileges The entered password is invalid Check that you have typed it correctly and that you haven't activated the ""caps lock"" key Do you want to connect?",Distribuido bajo la Licencia Pública General GNU.
Do you want to disconnect?,Paleta de caracteres Insertar caracteres OBSOLETO - Caracteres mostrados al iniciar la miniaplicación Caracteres mostrados al iniciar la miniaplicación La cadena que el usuario había seleccionado cuando se usó la miniaplicación por última vez.
C_onnect _Disconnect Could not launch network configuration tool Check that it's installed in the correct path and that it has the correct permissions Applet for activating and monitoring a dial-up network connection.,Esta cadena se mostrará cuando el usuario inicie la miniaplicación.
"Enter password Password: Connecting with Internet Service Provider Activate and monitor a dial-up network connection A system load monitor capable of displaying graphs for CPU, ram, and swap space use, plus network traffic.",Lista de paletas disponibles Lista de cadenas que contienen las paletas disponibles Fábrica para miniaplicación selector de caracteres _Editar _Paleta: Entrada de paleta Modificar una paleta añadiendo o quitando caracteres Añadir paleta Editar la paleta Lista de paletas _Paletas: Botón «Añadir» Pulse para añadir una paleta nueva Botón «Editar» Pulse para editar la paleta seleccionada Botón «Borrar» Pulse para borrar la paleta seleccionada Preferencias de la paleta de caracteres CPU que monitorizar Establece la CPU que monitorizar.
"Start system-monitor There was an error executing '%s': %s Processor Memory Network Swap Space Load Average Disk %s: %u%% in use by programs %u%% in use as cache The system load average is %0.02f CPU Load Memory Load Net Load Swap Load Disk Load _Open System Monitor System Monitor Enable CPU load graph Enable memory load graph Enable network load graph Enable swap load graph Enable load average graph Enable disk load graph Applet refresh rate in milliseconds Graph size For horizontal panels, the width of the graphs in pixels.","En un sistema monoprocesador, no tiene que cambiarlo."
"For vertical panels, this is the height of the graphs.","Modo para mostrar el uso de la CPU Un valor de 0 significa mostrar la miniaplicación en modo gráfico (sólo pixmap), 1 mostrar la miniaplicación en modo texto (no mostrar el pixmap) y 2 mostrar la miniaplicación en modo gráfico y texto."
Graph color for user-related CPU activity Graph color for system-related CPU activity Graph color for nice-related CPU activity Graph color for iowait related CPU activity CPU graph background color Graph color for user-related memory usage Graph color for shared memory Graph color for buffer memory Graph color for cached memory Memory graph background color Graph color for input network activity Graph color for output network activity Graph color for loopback network usage Network graph background color Graph color for user-related swap usage Swap graph background color Graph color for load average Load graph background color Graph color for disk read Graph color for disk write Background color for disk load graph A system load indicator Monitored Resources _Processor _Memory _Network S_wap Space _Load _Harddisk Options System m_onitor width: System m_onitor height: Sys_tem monitor update interval: milliseconds _User S_ystem N_ice I_OWait I_dle Sh_ared _Buffers Cach_ed F_ree _Background _Used _Free Load _Average Harddisk _Read _Write System Monitor Preferences Inbox Monitor Keyboard Indicator Some panel items are no longer available One or more panel items (also referred to as applets) are no longer available in the GNOME desktop.,El tipo de texto a mostrar (si el texto está activado).
These items will now be removed from your configuration: You will not receive this message again.,"Un valor 0 significa mostrar la frecuencia de la CPU, 1 mostrar la frecuencia y las unidades y 2 mostrar un porcentaje en vez de la frecuencia."
"Tomboy (ne Stickynotes) Tomboy (transparent upgrade from stickynotes) Sticky Notes Applet Factory Sticky Notes Create, view, and manage sticky notes on the desktop This note is locked.",Preferencias del monitor de frecuencia de la CPU Configuración del monitor CPU _monitorizada: Configuración del visor _Apariencia: Mostrar la frecuencia de la CPU como _frecuencia Mostrar las _unidades de la frecuencia Mostrar la frecuencia de la CPU como _porcentaje Monitor de frecuencia de la CPU Monitoriza el escalado de frecuencia de la CPU No se pudo abrir el documento de ayuda Esta utilidad muestra el estado actual del escalado de frecuencia de la CPU.
This note is unlocked.,Esta utilidad muestra la frecuencia actual de la CPU Gráfico Texto Gráfico y texto Sin soporte para escalado de frecuencia Escalado de frecuencia de la CPU no soportado No podrá modificar la frecuencia de su máquina.
_New Note _Delete Note...,Su máquina puede estar mal configurada o no tener soporte hardware para el escalado de frecuencia de la CPU.
_Lock Note Sticky Notes Preferences Default Note Properties Choose a font to use for all sticky notes Pick a default sticky note font _Font: Use fo_nt from the system theme Note C_olor: Font Co_lor: Choose a base color to use for all sticky notes Pick a default sticky note color Use co_lor from the system theme Specify the default height (in pixels) of new notes Specify the default width (in pixels) of new notes H_eight: Behavior Force _default color and font on notes Choose if the default style is forced on all notes _Put notes on all workspaces Choose if notes are visible on all workspaces Delete this sticky note?,Monitoriza el escalado de frecuencia de la CPU Monitoriza el escalado de frecuencia de la CPU (montado) (desmontado) _Reproducir DVD _Reproducir CD _Abrir %s Des_montar %s _Montar %s _Expulsar %s Miniaplicación para montar y desmontar volúmenes de bloques.
Delete all sticky notes?,Los ojos miran en la dirección del puntero del ratón Directorio en el cual se encuentra situado el tema Fábrica de la miniaplicación Geyes Un conjunto de globos oculares para su panel No se puede lanzar la miniaplicación Geyes.
_Delete All Sticky Note Lock/Unlock note Close note Resize note Sticky Note Properties Properties Choose a font for the note Pick a font for the sticky note Use default fo_nt Choose a color for the note Pick a color for the sticky note Note _Color: Font C_olor: Use default co_lor Specify a title for the note _Title: Default width for new notes Default width for new sticky notes in pixels.,Hubo un error fatal al intentar cargar el tema.
Default height for new notes Default height for new sticky notes in pixels.,Preferencias de Geyes Temas _Seleccione un tema: Copyright © 1999-2005 por S.
Default color for new notes Default color for new sticky notes.,Papadimitriou y otros Una aplicación del panel para monitorizar la meteorología local.
"This should be in html hex specification, for example ""#30FF50"".",_Detalles _Actualizar Informe meteorológico Meteorología de GNOME Previsión meteorológica Ciudad: %s Cielo: %s Temperatura: %s Actualizando…
Default color for font Default font color for new sticky notes.,Detalles Ciudad: Última actualización: Condiciones: Cielo: Temperatura: Sensación térmica: Punto de condensación: Humedad relativa: Viento: Presión atmosférica: Visibilidad: Amanecer: Ocaso: Condiciones actuales Informe del pronóstico Ver los detalles del pronóstico Pronóstico Mapa de radar _Visitar weather.com Visitar weather.com Pulse para entrar en Weather.com Pronóstico no disponible actualmente para este lugar.
"This should be in html hex specification, for example ""#000000"".",Vista de la zona Seleccione una zona de la lista Botón de intervalo de actualización Botón para la actualizar Dirección Introduzca el URL Falló al cargar la base de datos XML de zonas.
Default font for new notes Default font for new sticky notes.,Informe de esto como un fallo.
"This should be a Pango Font Name, for example ""Sans Italic 10"".",Preferencias de meteorología _Actualizar automáticamente cada: Unidad de _temperatura: Kelvin Centígrados Fahrenheit Unidad de velocidad del _viento:meters per second m/skilometers per hour Km/hmiles per hour mphknots nudos Escala Beaufort Unidad de _presión atmosférica:kiloPascals kPahectoPascals hPamillibars mbmillibars of mercury mmHginches of mercury inHgatmospheres atm Unidad de _visibilidad:meters metroskilometers Kmmiles millas Activar el mapa de _radar Usar dirección _personalizada para el mapa de radar Di_recciones: Actualizar minutos Visor General _Seleccione una zona: _Buscar: Buscar _siguiente Zona Actualizar los datos automáticamente Determina si la miniaplicación actualiza automáticamente sus estadísticas meteorológicas o no.
"Sticky notes' workspace stickyness Specifies whether the sticky notes are visible on ALL workspaces on the desktop, or not.",Intervalo de actualización El intervalo en segundos entre las actualizaciones automáticas.
Sticky notes' locked state Specifies whether the sticky notes are locked (non-editable) or not.,Mostrar el mapa de radar Obtener un mapa de radar con cada actualización.
"Date format of note's title By default, sticky notes are given the current date as the title when they are created.",Notificación de batería baja Una aplicación del panel para monitorizar la meteorología local.
This format is used; anything that can be parsed by strftime() is valid.,Fábrica de la miniaplicación GWeather Fábrica para crear la miniaplicación de meteorología.
"Whether to use the default system color If this option is disabled, a custom color can be used as the default color for all sticky notes.",Monitoriza la condiciones meteorológicas actuales y los pronósticos Fábrica de la miniaplicación Geyes Fábrica para crear la miniaplicación de meteorología.
"Whether to use the default system font If this option is disabled, a custom font can be used as the default font for all sticky notes.",Invertir Seguimiento de su dinero invertido.
"Whether to force the default color and font on all notes If this option is enabled, the custom colors and fonts that have been assigned to individual notes will be ignored.",Gráfica financiera Símbolo del _ticker: Auto_refrescar Estilo de la _gráfica: Movimiento promedio: Media de movimiento exponencial: 5 10 20 50 100 200 Overlays: Bollinger SAR Splits Volúmenes Indicadores: RSI Vol MFI Slow stoch Vol+MA ROC Fast stoch W%R MACD _Opciones Descargando gráfica desde Yahoo!
Whether to ask for confirmation when deleting a note Empty notes are always deleted without confirmation.,Preferencias de inversión Stocks _Grupos Chorros de bolitas de hielo _Acerca de Ay_uda _Preferencias _Refrescar Gráfica financiera - %s Abriendo gráfica Símbolo Cantidad Precio Comisión stock group Actualizarlast price Deskbar (anterior Mini-Commander) Deskbar (actualización transparente de Mini-Commander) Esta miniaplicación de GNOME añade una línea de comandos al panel.
Hi_de Notes _Delete Notes _Lock Notes Show sticky notes Sticky Notes for the GNOME Desktop Environment Trash Go to Trash _Empty Trash _Open Trash No Items in Trash Error while spawning nautilus: %s A GNOME trash bin that lives in your panel.,"Tiene completado de comandos, histórico de comandos, y macros cambiables."
You can use it to view the trash or drag and drop items into the trash.,"Histórico vacío Lanzar el programa Línea de comandos Escriba un comando aquí y GNOME lo ejecutará por usted No se puede obtener el esquema para %s: %s No se puede establecer el esquema para %s: %s Establecer el valor predeterminado de lista para %s GCONF_DISABLE_MAKEFILE_SCHEMA_INSTALL está activado, no se están instalando esquemas Debe asignar la variable de entorno GCONF_CONFIG_SOURCE Falló al acceder a las fuentes de configuración: %s Error al sincronizar los datos de configuración: %s Lista de patrones de macro Lista de entradas de GConfValue que contienen cadenas para los patrones de macro."
Delete Immediately?,Lista de comandos de macro Lista de entradas de GConfValue que contienen cadenas para los comandos de macro.
"Cannot move items to trash, do you want to delete them immediately?",Preferencias de línea de comandos Autocompletado _Activar autocompletado basado en histórico A_nchura: píxeles Colores _Usar los colores predeterminados del tema Color de la _tipografía: Color del _fondo: Escoja un color _Macros: _Añadir macro…
"Cannot move some items to trash, do you want to delete these immediately?",_Borrar macro Macros Añadir una macro nueva _Patrón: Co_mando: Mostrar el tirador Mostrar un tirador para que la miniaplicación pueda desprenderse del panel.
Trash Applet Removing item %s of %s Removing: %s Empty all of the items from the trash?,Mostrar el marco Mostrar un marco alrededor de la miniaplicación.
"If you choose to empty the trash, all items in it will be permanently lost.",Realizar autocompletado mediante histórico Intenta autocompletar un comando desde el historial de comandos introducidos.
Please note that you can also delete them separately.,Anchura Anchura de la miniaplicación Ya no se utiliza Usar los colores del tema predeterminado Usa los colores del tema en lugar de los personalizados.
Emptying the Trash Shows the state of AccessX features such as latched modifiers translator-credits There was an error launching the help viewer: %s Open the keyboard preferences dialog There was an error launching the keyboard preferences dialog: %s _Keyboard Accessibility Preferences _Help _About a AccessX Status Shows keyboard status when accessibility features are used.,"Color de tipografía, componente rojo El componente rojo del color de frente."
XKB Extension is not enabled Unknown error Error: %s Keyboard Accessibility Status Displays current state of keyboard accessibility features AccessX Status Applet Factory Keyboard Accessibility Status Applet Factory Shows the status of keyboard accessibility features _Preferences System is running on AC power System is running on battery power Battery charged (%d%%) Unknown time (%d%%) remaining Unknown time (%d%%) until charged %d %s %d %s (%d%%) remaining %d %s %d %s until charged (%d%%) Battery Monitor Your battery is now fully recharged Battery Notice You have %d%% of your total battery capacity remaining.,"Color de tipografía, componente verde El componente verde del color de frente."
"To avoid losing your work: • plug your laptop into external power, or • save open documents and shut your laptop down.","Color de tipografía, componente azul El componente azul del color de frente."
"To avoid losing your work: • suspend your laptop to save power, • plug your laptop into external power, or • save open documents and shut your laptop down.","Color del fondo, componente roja El componente rojo del color de fondo."
Your battery is running low No battery present Battery status unknown N/A There was an error displaying help: %s This utility shows the status of your laptop battery.,"Color del fondo, componente verde El componente verde del color de fondo."
HAL backend enabled.,"Color del fondo, componente azul El componente azul del color de fondo."
Legacy (non-HAL) backend enabled.,Lista del histórico Lista de entradas de GConfValue que contienen cadenas para las entradas históricas.
"Battery Charge Monitor Monitor a laptop's remaining power Battery Charge Monitor Preferences Appearance _Compact view (shows single image for status and charge) _Expanded view (two images: one for status, one for charge) _Show time/percentage: Show _time remaining Show _percentage remaining Notifications _Warn when battery charge drops to: _Notify when battery is fully recharged No batteries found Red value level The battery level below which the battery is displayed as red.","Esta clave por miniaplicación se ha declarado obsoleta en favor de la clave global, /schemas/apps/mini-commander-global/macro_patterns."
